index,marked_x,marked_y,marked_z,radius,name
0,0.15813555855972702,0.007816873064973652,0.5719560856803403,0.1,PrimaryBranch_35_bud_1
1,0.006608959678608569,0.004606569379612212,0.9285826632875863,0.1,trunk_0_bud_20
2,0.3429805593673073,-0.0269387573729051,0.6733667102648945,0.1,TertiaryBranch_87_bud_0
3,-0.001223021284294642,-0.011210588707992963,1.5238183592177852,0.1,trunk_0_bud_34
4,0.09107898713558545,-0.01928392223075591,1.1685767105585179,0.1,TertiaryBranch_148_bud_1
5,0.17081947935160202,0.044676670084658,1.3431235247018531,0.1,PrimaryBranch_54_bud_15
6,0.0009648332281094374,0.008603620431953294,2.134313797450402,0.1,trunk_0_bud_48
7,-0.064405561312728,-0.03887936601248188,2.331316384465297,0.1,PrimaryBranch_240_bud_9
8,0.22827250090102436,-0.01019732583613675,1.7267524466348585,0.1,TertiaryBranch_246_bud_1
9,-0.08888214849472106,0.016359781705108878,1.7532187507756845,0.1,TertiaryBranch_243_bud_2
10,0.5729574780984539,-0.12199628733381859,0.8002315272214857,0.1,TertiaryBranch_131_bud_5
11,0.002673193793175529,0.02383750984429075,2.6092533237759725,0.1,trunk_0_bud_61
12,0.2701527294120868,0.11972372705930036,1.5051578033008095,0.1,PrimaryBranch_54_bud_20
13,-0.08961927439231904,0.1046132613575993,2.811975515207872,0.1,PrimaryBranch_412_bud_4
14,0.08932039423762064,-0.15691895876145173,2.663605941148632,0.1,PrimaryBranch_418_bud_4
